Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
15.1323,18.0384,13.1813,13.9093,18.0082,14.4031,13.8804,11.1415,11.0914,110.019,110.138,109.745,109.997,
17.7865,10.91,13.6786,11.0334,14.8721,13.6852,12.9124,14.18,17.8054,109.739,109.88,109.473,109.986,
17.5543,13.4767,12.7488,17.6858,10.6255,13.498,14.6543,13.9811,10.8633,109.482,109.967,109.14,109.963,
17.2694,10.7681,13.2983,14.4456,12.4817,13.1672,10.2866,13.7531,17.438,109.109,109.83,108.829,109.931,
12.2879,14.2377,17.3123,10.0492,10.6055,13.5683,16.9285,12.8965,13.0047,108.793,109.892,108.505,109.888,
10.4785,17.1213,13.3674,9.74715,12.8325,16.6539,11.9706,12.6357,13.9077,108.303,109.828,108.195,109.836,
11.8037,13.1577,12.6331,13.7446,10.3079,16.3799,12.4096,9.40764,16.8648,108.087,109.72,107.931,109.784,
16.1976,12.4391,11.5639,16.7304,12.2029,10.1663,12.905,9.14262,13.473,107.872,109.711,107.648,109.719,
12.0094,12.2252,15.8992,12.7203,10.033,8.89424,13.261,11.2675,16.479,107.601,109.549,107.332,109.638,
8.64901,16.3435,11.0749,13.0408,11.6831,15.5556,12.4399,11.9127,9.84039,107.306,109.604,107.038,109.551,
12.8436,11.4737,8.33678,12.2462,9.72557,16.0981,15.2651,11.6924,10.7494,106.983,109.58,106.747,109.456,
15.928,15.0253,10.5633,8.00356,11.4761,11.9787,11.1296,12.4986,9.54089,106.72,109.47,106.47,109.356,
12.35,11.293,7.74739,15.6992,10.9142,10.3006,14.6978,11.742,9.40389,106.436,109.331,106.22,109.258,
9.3237,12.1157,14.4927,7.47038,10.6765,11.0396,10.0552,15.4534,11.5065,106.2,109.094,105.938,109.138,
7.21391,10.4479,15.2968,11.8411,14.158,9.80456,10.7717,9.10979,11.2544,105.934,109.004,105.635,108.997,
10.5801,15.0511,11.0686,11.5408,6.79914,9.51152,8.9509,13.7813,10.0314,105.434,109.102,105.335,108.845,
9.85478,9.28847,10.2908,11.2652,14.7711,13.5046,6.44884,8.77927,10.7173,105.308,108.734,105.06,108.695,
11.0283,10.5518,6.20331,13.2229,8.98253,8.64377,14.511,9.48543,9.969,105.057,108.598,104.823,108.556,
8.54319,14.3557,12.9726,8.75274,10.2893,9.25519,9.76259,5.856,10.6879,104.703,108.496,104.566,108.395,
